Voti Fantacalcio 38ª giornata di campionato,,,,,,,,,,,,
Solo su www.fantacalcio.it i voti ufficiali per la tua lega,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT,,,,,,,,,,,,
Atalanta,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
464,D,Florenzi,6*,0,0,0,0,0,0,0,0,0
4401,D,Gabbia,7,1,0,0,0,0,0,0,0,0
4751,D,Tomori,6,0,0,0,0,0,0,0,0,0
5022,D,Pavlovic,6.5,0,0,0,0,0,0,0,0,0
6496,D,Bartesaghi,6,0,0,0,0,0,0,0,0,0
6531,D,Jimenez A.,6,0,0,0,0,0,0,0,0,0
2423,C,Pulisic,6,0,0,0,0,0,0,0,0,0
4199,C,Loftus-Cheek,5.5,0,0,0,0,0,0,0,0,0
4686,C,Fofana Y.,6*,0,0,0,0,0,0,0,0,0
4856,C,Chukwueze,7,0,0,0,0,0,0,0,0,1
5295,C,Musah,5,0,0,0,0,0,0,0,0,0
6224,C,Reijnders,6.5,0,0,0,0,0,0,0,0,0
2438,A,Jovic,5,0,0,0,0,0,0,0,0,0
4811,A,Joao Felix,7,1,0,0,0,0,0,0,0,0
6519,A,Camarda,6.5,0,0,0,0,0,0,0,0,0
6960,ALL,Conceicao S.,6.5,0,0,0,0,0,0,0,0,0
Monza,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
6682,P,Pizzignacco,6,0,2,0,0,0,0,0,0,0
6818,P,Mazza,6*,0,0,0,0,0,0,0,0,0
226,D,Izzo,6*,0,0,0,0,0,0,0,0,0
729,D,Pereira P.,5.5,0,0,0,0,0,0,0,0,0
4530,D,Kyriakopoulos,6,0,0,0,0,0,0,0,0,0
4925,D,Carboni A.,5.5,0,0,0,0,0,0,0,0,0
4958,D,Caldirola,5.5,0,0,0,0,0,0,0,0,0
5838,D,Birindelli,6.5,0,0,0,0,0,0,0,0,0
1978,C,Sensi,6,0,0,0,0,0,0,0,0,0
4377,C,Castrovilli,5.5,0,0,0,0,0,0,0,0,0
5286,C,Akpa Akpro,6,0,0,0,0,0,0,0,0,0
5516,C,Bianco,5.5,0,0,0,0,0,0,1,0,0
5880,C,Ciurria,6.5,0,0,0,0,0,0,0,0,0
345,A,Keita B.,5.5,0,0,0,0,0,0,0,0,0
383,A,Petagna,6*,0,0,0,0,0,0,0,0,0
1958,A,Caprari,6,0,0,0,0,0,0,0,0,0
6621,ALL,Nesta,5.5,0,0,0,0,0,0,0,0,0
Napoli,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
572,P,Meret,6,0,0,0,0,0,0,0,0,0
1852,D,Spinazzola,6.5,0,0,0,0,0,0,0,0,0
2816,D,Di Lorenzo,6,0,0,0,0,0,0,0,0,0
4409,D,Rrahmani,6.5,0,0,0,0,0,0,0,0,0
5481,D,Mazzocchi,6*,0,0,0,0,0,0,0,0,0
5840,D,Olivera,6,0,0,0,0,0,0,0,0,0
536,C,Politano,6.5,0,0,0,0,0,0,1,0,1
4220,C,Zambo Anguissa,6,0,0,0,0,0,0,0,0,0
4777,C,McTominay,7.5,1,0,0,0,0,0,0,0,0
5131,C,Gilmour,6,0,0,0,0,0,0,0,0,0
6831,C,Neres,6,0,0,0,0,0,0,0,0,0
6969,C,Billing,6*,0,0,0,0,0,0,0,0,0
2061,A,Simeone,6,0,0,0,0,0,0,0,0,0
2531,A,Lukaku,7,1,0,0,0,0,0,1,0,0
4371,A,Raspadori,6.5,0,0,0,0,0,0,0,0,0
6145,A,Ngonge,6*,0,0,0,0,0,0,0,0,0
4416,ALL,Conte,8,0,0,0,0,0,0,0,0,0
Parma,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
6641,P,Suzuki,6,0,2,0,0,0,0,0,0,0
5307,D,Valenti,6,0,0,0,0,0,0,0,0,0
5353,D,Balogh,4.5,0,0,0,0,0,0,1,0,0
5862,D,Valeri,6,0,0,0,0,0,0,0,0,0
6663,D,Circati,5.5,0,0,0,0,0,0,0,0,0
6664,D,Delprato,6,0,0,0,0,0,0,0,0,0
4423,C,Hernani,6,0,0,0,0,0,0,0,0,0
5290,C,Estevez,6,0,0,0,0,0,0,0,0,0
5319,C,Sohm,6,0,0,0,0,0,0,0,0,0
6666,C,Bernabe',7,0,0,0,0,0,0,0,0,1
6821,C,Hainaut,7,1,0,0,0,0,0,0,0,0
6898,C,Keita M.,6*,0,0,0,0,0,0,0,0,0
6984,C,Ondrejka,7.5,2,0,0,0,0,0,0,0,0
5500,A,Cancellieri,6*,0,0,0,0,0,0,0,0,0
6669,A,Bonny,6.5,0,0,0,0,0,0,0,0,1
7023,A,Pellegrino M.,6.5,0,0,0,0,0,0,0,0,0
7043,ALL,Chivu,7,0,0,0,0,0,0,0,0,0
Roma,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
5841,P,Svilar,6,0,0,0,0,0,0,0,0,0
2296,D,Mancini,6.5,0,0,0,0,0,0,0,0,0
2406,D,Hummels,6*,0,0,0,0,0,0,0,0,0
4317,D,N'Dicka,6,0,0,0,0,0,0,0,0,0
4657,D,Celik,6,0,0,0,0,0,0,1,0,0
4772,D,Angelino,6.5,0,0,0,0,0,0,0,0,0
6986,D,Rensch,6*,0,0,0,0,0,0,0,0,0
468,C,Paredes,7,0,0,0,0,1,0,0,0,0
779,C,Cristante,6.5,0,0,0,0,0,0,0,0,0
795,C,El Shaarawy,6,0,0,0,0,0,0,0,0,0
4892,C,Saelemaekers,7.5,1,0,0,0,0,0,0,0,0
5589,C,Kone' M.,6,0,0,0,0,0,0,0,0,0
5823,C,Baldanzi,6*,0,0,0,0,0,0,0,0,0
6190,C,Pisilli,6*,0,0,0,0,0,0,0,0,0
